icd10_code,icd10_title,icd11_code,icd11_title,foundation_uri,linearization_uri
A02.8,Other specified salmonella infections,1A09.Z,"Salmonella infection, unspecified",http://id.who.int/icd/entity/515117475,http://id.who.int/icd/release/11/2022-02/mms/515117475/unspecified
A02.9,"Salmonella infection, unspecified",1C41,Bacterial infection of unspecified site,http://id.who.int/icd/entity/520429137,http://id.who.int/icd/release/11/2022-02/mms/520429137
A03,Shigellosis,1A02,Intestinal infections due to Shigella,http://id.who.int/icd/entity/2080365623,http://id.who.int/icd/release/11/2022-02/mms/2080365623
A03.0,Shigellosis due to Shigella dysenteriae,1A02,Intestinal infections due to Shigella,http://id.who.int/icd/entity/1181145033,http://id.who.int/icd/release/11/2022-02/mms/2080365623
A03.1,Shigellosis due to Shigella flexneri,1A02,Intestinal infections due to Shigella,http://id.who.int/icd/entity/590158429,http://id.who.int/icd/release/11/2022-02/mms/2080365623
A03.2,Shigellosis due to Shigella boydii,1A02,Intestinal infections due to Shigella,http://id.who.int/icd/entity/1468025508,http://id.who.int/icd/release/11/2022-02/mms/2080365623
A03.3,Shigellosis due to Shigella sonnei,1A02,Intestinal infections due to Shigella,http://id.who.int/icd/entity/852199222,http://id.who.int/icd/release/11/2022-02/mms/2080365623
A03.8,Other shigellosis,1C41,Bacterial infection of unspecified site,http://id.who.int/icd/entity/520429137,http://id.who.int/icd/release/11/2022-02/mms/520429137
A03.9,"Shigellosis, unspecified",1A02,Intestinal infections due to Shigella,http://id.who.int/icd/entity/2080365623,http://id.who.int/icd/release/11/2022-02/mms/2080365623
A04,Other bacterial intestinal infections,1A0Z,"Bacterial intestinal infections, unspecified",http://id.who.int/icd/entity/135352227,http://id.who.int/icd/release/11/2022-02/mms/135352227/unspecified
A04.0,Enteropathogenic Escherichia coli infection,1A03.0,Enteropathogenic Escherichia coli infection,http://id.who.int/icd/entity/2099226249,http://id.who.int/icd/release/11/2022-02/mms/2099226249
A04.1,Enterotoxigenic Escherichia coli infection,1A03.1,Enterotoxigenic Escherichia coli infection,http://id.who.int/icd/entity/408185629,http://id.who.int/icd/release/11/2022-02/mms/408185629
A04.2,Enteroinvasive Escherichia coli infection,1A03.2,Enteroinvasive Escherichia coli infection,http://id.who.int/icd/entity/1828273122,http://id.who.int/icd/release/11/2022-02/mms/1828273122
A04.3,Enterohaemorrhagic Escherichia coli infection,1A03.3,Enterohaemorrhagic Escherichia coli infection,http://id.who.int/icd/entity/162723448,http://id.who.int/icd/release/11/2022-02/mms/162723448
A04.4,Other intestinal Escherichia coli infections,1A03.Z,"Intestinal infections due to Escherichia coli, unspecified",http://id.who.int/icd/entity/344162786,http://id.who.int/icd/release/11/2022-02/mms/344162786/unspecified
A04.5,Campylobacter enteritis,1A06,Gastroenteritis due to Campylobacter,http://id.who.int/icd/entity/794462570,http://id.who.int/icd/release/11/2022-02/mms/794462570
A04.6,Enteritis due to Yersinia enterocolitica,1A05,Intestinal infections due to Yersinia enterocolitica,http://id.who.int/icd/entity/1000894786,http://id.who.int/icd/release/11/2022-02/mms/1000894786
A04.7,Enterocolitis due to Clostridium difficile,1A04,Intestinal infections due to Clostridioides difficile,http://id.who.int/icd/entity/250688797,http://id.who.int/icd/release/11/2022-02/mms/250688797
A04.8,Other specified bacterial intestinal infections,1A0Z,"Bacterial intestinal infections, unspecified",http://id.who.int/icd/entity/135352227,http://id.who.int/icd/release/11/2022-02/mms/135352227/unspecified
A04.9,"Bacterial intestinal infection, unspecified",1A0Z,"Bacterial intestinal infections, unspecified",http://id.who.int/icd/entity/135352227,http://id.who.int/icd/release/11/2022-02/mms/135352227/unspecified
A05,"Other bacterial foodborne intoxications, not elsewhere classified",1A1Z,"Bacterial foodborne intoxications, unspecified",http://id.who.int/icd/entity/1834648119,http://id.who.int/icd/release/11/2022-02/mms/1834648119/unspecified
A05.0,Foodborne staphylococcal intoxication,1A10,Foodborne staphylococcal intoxication,http://id.who.int/icd/entity/1642556936,http://id.who.int/icd/release/11/2022-02/mms/1642556936
A05.1,Botulism,1A11.Z,"Botulism, unspecified",http://id.who.int/icd/entity/78422942,http://id.who.int/icd/release/11/2022-02/mms/78422942/unspecified
A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,1A12,Foodborne Clostridium perfringens intoxication,http://id.who.int/icd/entity/1879176035,http://id.who.int/icd/release/11/2022-02/mms/1879176035
A05.3,Foodborne Vibrio parahaemolyticus intoxication,1A1Z,"Bacterial foodborne intoxications, unspecified",http://id.who.int/icd/entity/1834648119,http://id.who.int/icd/release/11/2022-02/mms/1834648119/unspecified
A05.4,Foodborne Bacillus cereus intoxication,1A13,Foodborne Bacillus cereus intoxication,http://id.who.int/icd/entity/1722068323,http://id.who.int/icd/release/11/2022-02/mms/1722068323
A05.8,Other specified bacterial foodborne intoxications,1A1Z,"Bacterial foodborne intoxications, unspecified",http://id.who.int/icd/entity/1834648119,http://id.who.int/icd/release/11/2022-02/mms/1834648119/unspecified
A05.9,"Bacterial foodborne intoxication, unspecified",1A1Z,"Bacterial foodborne intoxications, unspecified",http://id.who.int/icd/entity/1834648119,http://id.who.int/icd/release/11/2022-02/mms/1834648119/unspecified
A06,Amoebiasis,1A36.Z,"Amoebiasis, unspecified",http://id.who.int/icd/entity/435671752,http://id.who.int/icd/release/11/2022-02/mms/435671752/unspecified
A06.0,Acute amoebic dysentery,1A36.00,Acute amoebiasis,http://id.who.int/icd/entity/1616956984,http://id.who.int/icd/release/11/2022-02/mms/1616956984
A06.1,Chronic intestinal amoebiasis,1A36.0Z,"Intestinal infections due to Entamoeba, unspecified",http://id.who.int/icd/entity/86705058,http://id.who.int/icd/release/11/2022-02/mms/1727029934/unspecified
A06.2,Amoebic nondysenteric colitis,1A36.0Z,"Intestinal infections due to Entamoeba, unspecified",http://id.who.int/icd/entity/1959427510,http://id.who.int/icd/release/11/2022-02/mms/1727029934/unspecified
A06.3,Amoeboma of intestine,1A36.01,Amoeboma of intestine,http://id.who.int/icd/entity/349019849,http://id.who.int/icd/release/11/2022-02/mms/349019849
A06.4,Amoebic liver abscess,1A36.10,Amoebic liver abscess,http://id.who.int/icd/entity/1730350429,http://id.who.int/icd/release/11/2022-02/mms/1730350429
A06.5,Amoebic lung abscess,1A36.11,Amoebic lung abscess,http://id.who.int/icd/entity/40419529,http://id.who.int/icd/release/11/2022-02/mms/40419529
A06.6,Amoebic brain abscess,1A36.1&XA9738/1D03.3,Extraintestinal infections due to Entamoeba / Brain / Intracranial abscess,http://id.who.int/icd/entity/1992658998,http://id.who.int/icd/release/11/2022-02/mms/1777228366
A06.7,Cutaneous amoebiasis,1A36.12,Cutaneous amoebiasis,http://id.who.int/icd/entity/328097188,http://id.who.int/icd/release/11/2022-02/mms/328097188
A06.8,Amoebic infection of other sites,1A36.1,Extraintestinal infections due to Entamoeba,http://id.who.int/icd/entity/1860651234,http://id.who.int/icd/release/11/2022-02/mms/1777228366
A06.9,"Amoebiasis, unspecified",1A36.Z,"Amoebiasis, unspecified",http://id.who.int/icd/entity/435671752,http://id.who.int/icd/release/11/2022-02/mms/435671752/unspecified
A07,Other protozoal intestinal diseases,1A3Z,"Protozoal intestinal infections, unspecified",http://id.who.int/icd/entity/2092703582,http://id.who.int/icd/release/11/2022-02/mms/2092703582/unspecified
A07.0,Balantidiasis,1A30,Infections due to Balantidium coli,http://id.who.int/icd/entity/2090337975,http://id.who.int/icd/release/11/2022-02/mms/2090337975
A07.1,Giardiasis [lambliasis],1A31,Giardiasis,http://id.who.int/icd/entity/433310499,http://id.who.int/icd/release/11/2022-02/mms/433310499
A07.2,Cryptosporidiosis,1A32,Cryptosporidiosis,http://id.who.int/icd/entity/1837013982,http://id.who.int/icd/release/11/2022-02/mms/1837013982
A07.3,Isosporiasis,1A33.Z,"Cystoisosporiasis, unspecified",http://id.who.int/icd/entity/137713224,http://id.who.int/icd/release/11/2022-02/mms/137713224/unspecified
A07.8,Other specified protozoal intestinal diseases,1A3Z,"Protozoal intestinal infections, unspecified",http://id.who.int/icd/entity/2092703582,http://id.who.int/icd/release/11/2022-02/mms/2092703582/unspecified
A07.9,"Protozoal intestinal disease, unspecified",1A3Z,"Protozoal intestinal infections, unspecified",http://id.who.int/icd/entity/2089071035,http://id.who.int/icd/release/11/2022-02/mms/2092703582/unspecified
A08,Viral and other specified intestinal infections,1A2Z,"Viral intestinal infections, unspecified",http://id.who.int/icd/entity/30738976,http://id.who.int/icd/release/11/2022-02/mms/30738976/unspecified
A08.0,Rotaviral enteritis,1A22,Gastroenteritis due to Rotavirus,http://id.who.int/icd/entity/840750347,http://id.who.int/icd/release/11/2022-02/mms/840750347
A08.1,Acute gastroenteropathy due to Norovirus,1A23,Enteritis due to Norovirus,http://id.who.int/icd/entity/1465325727,http://id.who.int/icd/release/11/2022-02/mms/1465325727
A08.2,Adenoviral enteritis,1A20,Enteritis due to Adenovirus,http://id.who.int/icd/entity/749414717,http://id.who.int/icd/release/11/2022-02/mms/749414717
A08.3,Other viral enteritis,1A2Z,"Viral intestinal infections, unspecified",http://id.who.int/icd/entity/30738976,http://id.who.int/icd/release/11/2022-02/mms/30738976/unspecified
A08.4,"Viral intestinal infection, unspecified",1A2Z,"Viral intestinal infections, unspecified",http://id.who.int/icd/entity/1142254576,http://id.who.int/icd/release/11/2022-02/mms/30738976/unspecified
A08.5,Other specified intestinal infections,,Gastroenteritis or colitis of infectious origin,http://id.who.int/icd/entity/588616678,http://id.who.int/icd/release/11/2022-02/mms/588616678
A09,Other gastroenteritis and colitis of infectious and unspecified origin,1A40.Z,Infectious gastroenteritis or colitis without specification of infectious agent,http://id.who.int/icd/entity/1688127370,http://id.who.int/icd/release/11/2022-02/mms/1688127370/unspecified
A09.0,Other and unspecified gastroenteritis and colitis of infectious origin,1A40.Z,Infectious gastroenteritis or colitis without specification of infectious agent,http://id.who.int/icd/entity/1688127370,http://id.who.int/icd/release/11/2022-02/mms/1688127370/unspecified
A09.9,Gastroenteritis and colitis of unspecified origin,1A40.0,Gastroenteritis or colitis without specification of origin,http://id.who.int/icd/entity/1160271562,http://id.who.int/icd/release/11/2022-02/mms/1160271562
A15-A19,Tuberculosis,1B1Z,"Tuberculosis, unspecified",http://id.who.int/icd/entity/2072728114,http://id.who.int/icd/release/11/2022-02/mms/2072728114/unspecified
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",1B10.0,"Respiratory tuberculosis, confirmed",http://id.who.int/icd/entity/983550510,http://id.who.int/icd/release/11/2022-02/mms/983550510
A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",1B10.0,"Respiratory tuberculosis, confirmed",http://id.who.int/icd/entity/1912425785,http://id.who.int/icd/release/11/2022-02/mms/983550510
A15.1,"Tuberculosis of lung, confirmed by culture only",1B10.0,"Respiratory tuberculosis, confirmed",http://id.who.int/icd/entity/347504813,http://id.who.int/icd/release/11/2022-02/mms/983550510
A15.2,"Tuberculosis of lung, confirmed histologically",1B10.0,"Respiratory tuberculosis, confirmed",http://id.who.int/icd/entity/1612435540,http://id.who.int/icd/release/11/2022-02/mms/983550510
A15.3,"Tuberculosis of lung, confirmed by unspecified means",1B10.0,"Respiratory tuberculosis, confirmed",http://id.who.int/icd/entity/89136582,http://id.who.int/icd/release/11/2022-02/mms/983550510
A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",1B10.0,"Respiratory tuberculosis, confirmed",http://id.who.int/icd/entity/1992199762,http://id.who.int/icd/release/11/2022-02/mms/983550510
A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",1B10.0,"Respiratory tuberculosis, confirmed",http://id.who.int/icd/entity/334840776,http://id.who.int/icd/release/11/2022-02/mms/983550510
A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically",1B10.0,"Respiratory tuberculosis, confirmed",http://id.who.int/icd/entity/1733825337,http://id.who.int/icd/release/11/2022-02/mms/983550510
A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",1B10.0,"Respiratory tuberculosis, confirmed",http://id.who.int/icd/entity/34856621,http://id.who.int/icd/release/11/2022-02/mms/983550510
A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",1B10.0,"Respiratory tuberculosis, confirmed",http://id.who.int/icd/entity/983550510,http://id.who.int/icd/release/11/2022-02/mms/983550510
A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",1B10.0,"Respiratory tuberculosis, confirmed",http://id.who.int/icd/entity/983550510,http://id.who.int/icd/release/11/2022-02/mms/983550510
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",1B10.1,"Respiratory tuberculosis, not confirmed",http://id.who.int/icd/entity/1311939281,http://id.who.int/icd/release/11/2022-02/mms/1311939281
A16.0,"Tuberculosis of lung, bacteriologically and histologically negative",1B10.1,"Respiratory tuberculosis, not confirmed",http://id.who.int/icd/entity/1887104263,http://id.who.int/icd/release/11/2022-02/mms/1311939281
A16.1,"Tuberculosis of lung, bacteriological and histological examination not done",1B10.1,"Respiratory tuberculosis, not confirmed",http://id.who.int/icd/entity/355541139,http://id.who.int/icd/release/11/2022-02/mms/1311939281
A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",1B10.Z,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",http://id.who.int/icd/entity/1637642348,http://id.who.int/icd/release/11/2022-02/mms/882244568/unspecified
A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",1B10.Z,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",http://id.who.int/icd/entity/81247738,http://id.who.int/icd/release/11/2022-02/mms/882244568/unspecified
A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",1B10.Z,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",http://id.who.int/icd/entity/2000236142,http://id.who.int/icd/release/11/2022-02/mms/882244568/unspecified
A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",1B10.Z,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",http://id.who.int/icd/entity/309519352,http://id.who.int/icd/release/11/2022-02/mms/882244568/unspecified
A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,1B10.Z,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",http://id.who.int/icd/entity/60063379,http://id.who.int/icd/release/11/2022-02/mms/882244568/unspecified
A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",1B10.Z,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",http://id.who.int/icd/entity/882244568,http://id.who.int/icd/release/11/2022-02/mms/882244568/unspecified
A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",1B10.Z,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",http://id.who.int/icd/entity/882244568,http://id.who.int/icd/release/11/2022-02/mms/882244568/unspecified
A17,Tuberculosis of nervous system,1B11.Z,"Tuberculosis of the nervous system, unspecified",http://id.who.int/icd/entity/729372485,http://id.who.int/icd/release/11/2022-02/mms/729372485/unspecified
A17.0,Tuberculous meningitis,1B11.0,Tuberculous meningitis,http://id.who.int/icd/entity/1820468614,http://id.who.int/icd/release/11/2022-02/mms/1820468614
A17.1,Meningeal tuberculoma,1B11.2,Meningeal tuberculoma,http://id.who.int/icd/entity/164227092,http://id.who.int/icd/release/11/2022-02/mms/164227092
A17.8,Other tuberculosis of nervous system,1B11.Z,"Tuberculosis of the nervous system, unspecified",http://id.who.int/icd/entity/729372485,http://id.who.int/icd/release/11/2022-02/mms/729372485/unspecified
A17.9,"Tuberculosis of nervous system, unspecified",1B11.Z,"Tuberculosis of the nervous system, unspecified",http://id.who.int/icd/entity/729372485,http://id.who.int/icd/release/11/2022-02/mms/729372485/unspecified
A18,Tuberculosis of other organs,1B12,Tuberculosis of other systems and organs,http://id.who.int/icd/entity/746680558,http://id.who.int/icd/release/11/2022-02/mms/746680558
A18.0,Tuberculosis of bones and joints,1B12.40,Tuberculosis of bones or joints,http://id.who.int/icd/entity/570881596,http://id.who.int/icd/release/11/2022-02/mms/570881596
A18.1,Tuberculosis of genitourinary system,1B12.5,Tuberculosis of the genitourinary system,http://id.who.int/icd/entity/1196243886,http://id.who.int/icd/release/11/2022-02/mms/1196243886
A18.2,Tuberculous peripheral lymphadenopathy,1B12.6,Tuberculous peripheral lymphadenopathy,http://id.who.int/icd/entity/870345553,http://id.who.int/icd/release/11/2022-02/mms/870345553
A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands",1B12.7,Tuberculosis of the digestive system,http://id.who.int/icd/entity/1873777499,http://id.who.int/icd/release/11/2022-02/mms/1873777499
A18.4,Tuberculosis of skin and subcutaneous tissue,1B12.8,Cutaneous tuberculosis,http://id.who.int/icd/entity/625292625,http://id.who.int/icd/release/11/2022-02/mms/625292625
A18.5,Tuberculosis of eye,1B12.1,Tuberculosis of eye,http://id.who.int/icd/entity/1074723013,http://id.who.int/icd/release/11/2022-02/mms/1074723013
A18.6,Tuberculosis of ear,1B12.2,Tuberculosis of ear,http://id.who.int/icd/entity/883140666,http://id.who.int/icd/release/11/2022-02/mms/883140666
A18.7,Tuberculosis of adrenal glands,1B12.3&XA0NE9,Tuberculosis of endocrine glands / Adrenal gland,http://id.who.int/icd/entity/1374184880,http://id.who.int/icd/release/11/2022-02/mms/807058764
A18.8,Tuberculosis of other specified organs,1B12,Tuberculosis of other systems and organs,http://id.who.int/icd/entity/746680558,http://id.who.int/icd/release/11/2022-02/mms/746680558
A19,Miliary tuberculosis,1B13.Z,"Miliary tuberculosis, unspecified",http://id.who.int/icd/entity/861638547,http://id.who.int/icd/release/11/2022-02/mms/861638547/unspecified
A19.0,Acute miliary tuberculosis of a single specified site,1B13.0,Acute miliary tuberculosis of a single specified site,http://id.who.int/icd/entity/1056849595,http://id.who.int/icd/release/11/2022-02/mms/1056849595
A19.1,Acute miliary tuberculosis of multiple sites,1B13.1,Acute miliary tuberculosis of multiple sites,http://id.who.int/icd/entity/1538650927,http://id.who.int/icd/release/11/2022-02/mms/1538650927
A19.2,"Acute miliary tuberculosis, unspecified",1B13.Z,"Miliary tuberculosis, unspecified",http://id.who.int/icd/entity/861638547,http://id.who.int/icd/release/11/2022-02/mms/861638547/unspecified
A19.8,Other miliary tuberculosis,1B13.Z,"Miliary tuberculosis, unspecified",http://id.who.int/icd/entity/861638547,http://id.who.int/icd/release/11/2022-02/mms/861638547/unspecified
A19.9,"Miliary tuberculosis, unspecified",1B13.Z,"Miliary tuberculosis, unspecified",http://id.who.int/icd/entity/861638547,http://id.who.int/icd/release/11/2022-02/mms/861638547/unspecified
A20-A28,Certain zoonotic bacterial diseases,1B9Z,Unspecified zoonotic bacterial disease,http://id.who.int/icd/entity/1935092859,http://id.who.int/icd/release/11/2022-02/mms/1935092859/unspecified
A20,Plague,1B93.Z,"Plague, unspecified",http://id.who.int/icd/entity/1596449540,http://id.who.int/icd/release/11/2022-02/mms/1596449540/unspecified
A20.0,Bubonic plague,1B93.0,Bubonic plague,http://id.who.int/icd/entity/1742025109,http://id.who.int/icd/release/11/2022-02/mms/1742025109
A20.1,Cellulocutaneous plague,1B93.1,Cellulocutaneous plague,http://id.who.int/icd/entity/43973633,http://id.who.int/icd/release/11/2022-02/mms/43973633
A20.2,Pneumonic plague,1B93.2,Pneumonic plague,http://id.who.int/icd/entity/1983098110,http://id.who.int/icd/release/11/2022-02/mms/1983098110
A20.3,Plague meningitis,1B93.3,Plague meningitis,http://id.who.int/icd/entity/326656364,http://id.who.int/icd/release/11/2022-02/mms/326656364
A20.7,Septicaemic plague,1B93.Z,"Plague, unspecified",http://id.who.int/icd/entity/1596449540,http://id.who.int/icd/release/11/2022-02/mms/1596449540/unspecified
A20.8,Other forms of plague,1B93.Z,"Plague, unspecified",http://id.who.int/icd/entity/1596449540,http://id.who.int/icd/release/11/2022-02/mms/1596449540/unspecified
A20.9,"Plague, unspecified",1B93.Z,"Plague, unspecified",http://id.who.int/icd/entity/1596449540,http://id.who.int/icd/release/11/2022-02/mms/1596449540/unspecified
A21,Tularaemia,1B94.Z,"Tularaemia, unspecified",http://id.who.int/icd/entity/980168338,http://id.who.int/icd/release/11/2022-02/mms/980168338/unspecified
A21.0,Ulceroglandular tularaemia,1B94.0,Ulceroglandular tularaemia,http://id.who.int/icd/entity/2066610452,http://id.who.int/icd/release/11/2022-02/mms/2066610452
A21.1,Oculoglandular tularaemia,1B94.Z,"Tularaemia, unspecified",http://id.who.int/icd/entity/510014594,http://id.who.int/icd/release/11/2022-02/mms/980168338/unspecified
A21.2,Pulmonary tularaemia,1B94.Z,"Tularaemia, unspecified",http://id.who.int/icd/entity/1791714431,http://id.who.int/icd/release/11/2022-02/mms/980168338/unspecified
A21.3,Gastrointestinal tularaemia,1B94.Z,"Tularaemia, unspecified",http://id.who.int/icd/entity/260090347,http://id.who.int/icd/release/11/2022-02/mms/980168338/unspecified
A21.7,Generalized tularaemia,1B94.Z,"Tularaemia, unspecified",http://id.who.int/icd/entity/147024512,http://id.who.int/icd/release/11/2022-02/mms/980168338/unspecified
A21.8,Other forms of tularaemia,1B94.Z,"Tularaemia, unspecified",http://id.who.int/icd/entity/980168338,http://id.who.int/icd/release/11/2022-02/mms/980168338/unspecified
A21.9,"Tularaemia, unspecified",1B94.Z,"Tularaemia, unspecified",http://id.who.int/icd/entity/980168338,http://id.who.int/icd/release/11/2022-02/mms/980168338/unspecified
A22,Anthrax,1B97,Anthrax,http://id.who.int/icd/entity/1321303663,http://id.who.int/icd/release/11/2022-02/mms/1321303663
A22.0,Cutaneous anthrax,1B97,Anthrax,http://id.who.int/icd/entity/2057984300,http://id.who.int/icd/release/11/2022-02/mms/1321303663
A22.1,Pulmonary anthrax,1B97,Anthrax,http://id.who.int/icd/entity/534877374,http://id.who.int/icd/release/11/2022-02/mms/1321303663
A22.2,Gastrointestinal anthrax,1B97,Anthrax,http://id.who.int/icd/entity/1800193089,http://id.who.int/icd/release/11/2022-02/mms/1321303663
A22.7,Anthrax sepsis,1B97,Anthrax,http://id.who.int/icd/entity/1321303663,http://id.who.int/icd/release/11/2022-02/mms/1321303663
A22.8,Other forms of anthrax,1B97,Anthrax,http://id.who.int/icd/entity/1321303663,http://id.who.int/icd/release/11/2022-02/mms/1321303663
A22.9,"Anthrax, unspecified",1B97,Anthrax,http://id.who.int/icd/entity/1321303663,http://id.who.int/icd/release/11/2022-02/mms/1321303663
A23,Brucellosis,1B95,Brucellosis,http://id.who.int/icd/entity/730510331,http://id.who.int/icd/release/11/2022-02/mms/730510331
A23.0,Brucellosis due to Brucella melitensis,1B95,Brucellosis,http://id.who.int/icd/entity/1716687275,http://id.who.int/icd/release/11/2022-02/mms/730510331
A23.1,Brucellosis due to Brucella abortus,1B95,Brucellosis,http://id.who.int/icd/entity/51993663,http://id.who.int/icd/release/11/2022-02/mms/730510331
A23.2,Brucellosis due to Brucella suis,1B95,Brucellosis,http://id.who.int/icd/entity/2008288450,http://id.who.int/icd/release/11/2022-02/mms/730510331
A23.3,Brucellosis due to Brucella canis,1B95,Brucellosis,http://id.who.int/icd/entity/318751060,http://id.who.int/icd/release/11/2022-02/mms/730510331
A23.8,Other brucellosis,1B95,Brucellosis,http://id.who.int/icd/entity/730510331,http://id.who.int/icd/release/11/2022-02/mms/730510331
A23.9,"Brucellosis, unspecified",1B95,Brucellosis,http://id.who.int/icd/entity/730510331,http://id.who.int/icd/release/11/2022-02/mms/730510331
A24,Glanders and melioidosis,1H0Z,"Infection, unspecified",http://id.who.int/icd/entity/1435254666,http://id.who.int/icd/release/11/2022-02/mms/1435254666/unspecified
A24.0,Glanders,1B92,Glanders,http://id.who.int/icd/entity/1563156715,http://id.who.int/icd/release/11/2022-02/mms/1563156715
A24.1,Acute and fulminating melioidosis,1C42,Melioidosis,http://id.who.int/icd/entity/945827199,http://id.who.int/icd/release/11/2022-02/mms/2129350166
A24.2,Subacute and chronic melioidosis,1C42,Melioidosis,http://id.who.int/icd/entity/1288535424,http://id.who.int/icd/release/11/2022-02/mms/2129350166
A24.3,Other melioidosis,1C42,Melioidosis,http://id.who.int/icd/entity/2129350166,http://id.who.int/icd/release/11/2022-02/mms/2129350166
A24.4,"Melioidosis, unspecified",1C42,Melioidosis,http://id.who.int/icd/entity/2129350166,http://id.who.int/icd/release/11/2022-02/mms/2129350166
A25,Rat-bite fevers,1B90,Rat-bite fevers,http://id.who.int/icd/entity/1026551291,http://id.who.int/icd/release/11/2022-02/mms/1026551291
A25.0,Spirillosis,1B90.0,Spirillosis,http://id.who.int/icd/entity/1104357482,http://id.who.int/icd/release/11/2022-02/mms/1104357482
A25.1,Streptobacillosis,1B90.1,Streptobacillosis,http://id.who.int/icd/entity/614000128,http://id.who.int/icd/release/11/2022-02/mms/614000128
A25.9,"Rat-bite fever, unspecified",1B90,Rat-bite fevers,http://id.who.int/icd/entity/1026551291,http://id.who.int/icd/release/11/2022-02/mms/1026551291
